OMIM	OMIM_NAME	DO	DO_NAME	CLASS	CLASS_NAME
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	NA	NA	NA	NA
OMIM:100100	PRUNE BELLY SYNDROME; PBS	NA	NA	NA	NA
OMIM:100300	ADAMS-OLIVER SYNDROME 1; AOS1	DOID:0060227	Adams-Oliver Syndrome	NA	NA
OMIM:100800	ACHONDROPLASIA; ACH	DOID:4480	Achondroplasia	DOID:17	Musculoskeletal System Disease
OMIM:101000	NEUROFIBROMATOSIS, TYPE II; NF2	DOID:8712	Neurofibromatosis	DOID:0050177	Monogenic Disease
OMIM:101200	APERT SYNDROME	DOID:12960	Acrocephalosyndactylia	DOID:17	Musculoskeletal System Disease
OMIM:101400	SAETHRE-CHOTZEN SYNDROME; SCS	DOID:14768	Saethre-Chotzen Syndrome	DOID:17	Musculoskeletal System Disease
OMIM:101600	PFEIFFER SYNDROME	DOID:14705	Pfeiffer Syndrome	DOID:17	Musculoskeletal System Disease
OMIM:101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1	DOID:14669	Acrodysostosis	DOID:17	Musculoskeletal System Disease
OMIM:101900	ACROKERATOSIS VERRUCIFORMIS; AKV	DOID:0050606	Acrokeratosis Verruciformis	DOID:16	Integumentary System Disease
OMIM:102200	PITUITARY ADENOMA, GROWTH HORMONE-SECRETING, 1; PAGH1	DOID:6255	Growth Hormone Secreting Pituitary Adenoma	DOID:0060072	Benign Neoplasm
OMIM:102370	ACROMICRIC DYSPLASIA; ACMICD	DOID:0080001	Bone Disease	DOID:17	Musculoskeletal System Disease
OMIM:102500	HAJDU-CHENEY SYNDROME; HJCYS	DOID:2736	Hajdu-Cheney Syndrome	DOID:0050177	Monogenic Disease
OMIM:102530	SPERMATOGENIC FAILURE 6; SPGF6	DOID:14227	Azoospermia	DOID:15	Reproductive System Disease
OMIM:102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	DOID:5810	Adenosine Deaminase Deficiency	DOID:2914	Immune System Disease
OMIM:102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	DOID:74	Hematopoietic System Disease	DOID:2914	Immune System Disease
OMIM:103050	ADENYLOSUCCINASE DEFICIENCY	DOID:655	Inherited Metabolic Disorder	NA	NA
OMIM:103285	ADULT SYNDROME	DOID:0050601	ADULT Syndrome	DOID:0050177	Monogenic Disease
OMIM:103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	NA	NA	NA	NA
OMIM:103500	TIETZ SYNDROME	DOID:9252	Amino Acid Metabolic Disorder	DOID:655	Inherited Metabolic Disorder
OMIM:103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A	DOID:0080053	Albright's Hereditary Osteodystrophy	DOID:655	Inherited Metabolic Disorder
OMIM:103780	ALCOHOL DEPENDENCE	DOID:0050741	Alcohol Dependence	DOID:303	Substance-Related Disorder
OMIM:103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1	DOID:14080	Glucocorticoid-Remediable Aldosteronism	DOID:28	Endocrine System Disease
OMIM:104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1	NA	NA	NA	NA
OMIM:104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT	DOID:10983	Alport Syndrome	DOID:0050177	Monogenic Disease
OMIM:104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1	DOID:0050635	Alternating Hemiplegia of Childhood	DOID:863	Nervous System Disease
OMIM:104300	ALZHEIMER DISEASE; AD	DOID:10652	Alzheimer's Disease	DOID:863	Nervous System Disease
OMIM:104310	ALZHEIMER DISEASE 2	DOID:10652	Alzheimer's Disease	DOID:863	Nervous System Disease
OMIM:104500	AMELOGENESIS IMPERFECTA, TYPE IB; AI1B	DOID:2187	Amelogenesis Imperfecta	DOID:77	Gastrointestinal System Disease
OMIM:104510	AMELOGENESIS IMPERFECTA, TYPE IV; AI4	DOID:2187	Amelogenesis Imperfecta	DOID:77	Gastrointestinal System Disease
OMIM:104530	AMELOGENESIS IMPERFECTA, TYPE IA; AI1A	DOID:2187	Amelogenesis Imperfecta	DOID:77	Gastrointestinal System Disease
OMIM:105120	AMYLOIDOSIS, FINNISH TYPE	DOID:0050637	Finnish Type Amyloidosis	DOID:0060158	Acquired Metabolic Disease
OMIM:105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED	DOID:9246	Cerebral Amyloid Angiopathy	DOID:0060158	Acquired Metabolic Disease
OMIM:105200	AMYLOIDOSIS, FAMILIAL VISCERAL	DOID:0050636	Familial Visceral Amyloidosis	DOID:0060158	Acquired Metabolic Disease
OMIM:105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	DOID:0050638	Transthyretin Amyloidosis	DOID:0060158	Acquired Metabolic Disease
OMIM:105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	DOID:0050639	Primary Cutaneous Amyloidosis	DOID:0060158	Acquired Metabolic Disease
OMIM:105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	DOID:0060193	Amyotrophic Lateral Sclerosis Type 1	DOID:863	Nervous System Disease
OMIM:105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	DOID:332	Amyotrophic Lateral Sclerosis	DOID:863	Nervous System Disease
OMIM:105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1	DOID:332	Amyotrophic Lateral Sclerosis	DOID:863	Nervous System Disease
OMIM:105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1	DOID:1339	Diamond-Blackfan Anemia	DOID:2914	Immune System Disease
OMIM:105830	ANGELMAN SYNDROME; AS	DOID:1932	Angelman Syndrome	DOID:0080014	Chromosomal Disease
OMIM:106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1	DOID:14735	Hereditary Angioedema	DOID:16	Integumentary System Disease
OMIM:106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD	NA	NA	NA	NA
OMIM:106210	ANIRIDIA 1; AN1	DOID:12271	Aniridia	DOID:863	Nervous System Disease
OMIM:106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	DOID:9296	Cleft Lip	DOID:0050567	Orofacial Cleft
OMIM:106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1	DOID:1123	Spondyloarthropathy	DOID:17	Musculoskeletal System Disease
OMIM:106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1	DOID:0050591	Tooth Agenesis	DOID:77	Gastrointestinal System Disease
OMIM:106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1; TAPVR1	NA	NA	NA	NA
OMIM:107250	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS; ASMD	DOID:5614	Eye Disease	DOID:863	Nervous System Disease
