Ensembl_Gene_ID	Disease_ID	In_PhenoRank_Benchmarking
ENSG00000000419	OMIM:608799	TRUE
ENSG00000000971	OMIM:126700	TRUE
ENSG00000000971	OMIM:235400	TRUE
ENSG00000000971	OMIM:609814	FALSE
ENSG00000000971	OMIM:610698	FALSE
ENSG00000001084	OMIM:230450	TRUE
ENSG00000001084	OMIM:608446	TRUE
ENSG00000001497	OMIM:309585	TRUE
ENSG00000001626	OMIM:167800	TRUE
ENSG00000001626	OMIM:211400	TRUE
ENSG00000001626	OMIM:219700	TRUE
ENSG00000001626	OMIM:277180	TRUE
ENSG00000001631	OMIM:116860	TRUE
ENSG00000002822	OMIM:176807	TRUE
ENSG00000003137	OMIM:614416	FALSE
ENSG00000003393	OMIM:205100	TRUE
ENSG00000003393	OMIM:606353	TRUE
ENSG00000003393	OMIM:607225	TRUE
ENSG00000003400	OMIM:603909	TRUE
ENSG00000003400	OMIM:605027	TRUE
ENSG00000003400	OMIM:613659	FALSE
ENSG00000004455	OMIM:267500	TRUE
ENSG00000004487	OMIM:616728	FALSE
ENSG00000004838	OMIM:615444	FALSE
ENSG00000004848	OMIM:300004	TRUE
ENSG00000004848	OMIM:300215	TRUE
ENSG00000004848	OMIM:300419	TRUE
ENSG00000004848	OMIM:308350	TRUE
ENSG00000004848	OMIM:309510	TRUE
ENSG00000004864	OMIM:603471	TRUE
ENSG00000004864	OMIM:605814	TRUE
ENSG00000004939	OMIM:110500	FALSE
ENSG00000004939	OMIM:112010	FALSE
ENSG00000004939	OMIM:112050	FALSE
ENSG00000004939	OMIM:166900	TRUE
ENSG00000004939	OMIM:179800	TRUE
ENSG00000004939	OMIM:185020	TRUE
ENSG00000004939	OMIM:601550	FALSE
ENSG00000004939	OMIM:601551	FALSE
ENSG00000004939	OMIM:611162	FALSE
ENSG00000004939	OMIM:611590	FALSE
ENSG00000004939	OMIM:612653	FALSE
ENSG00000004948	OMIM:166710	TRUE
ENSG00000004961	OMIM:309801	TRUE
ENSG00000005073	OMIM:605432	TRUE
ENSG00000005102	OMIM:214300	TRUE
ENSG00000005339	OMIM:180849	TRUE
ENSG00000005381	OMIM:104300	TRUE
ENSG00000005381	OMIM:254600	TRUE
ENSG00000005421	OMIM:612633	FALSE
ENSG00000005471	OMIM:600803	TRUE
ENSG00000005471	OMIM:602347	TRUE
ENSG00000005471	OMIM:614972	FALSE
ENSG00000005884	OMIM:614748	FALSE
ENSG00000005893	OMIM:300257	TRUE
ENSG00000005961	OMIM:187800	TRUE
ENSG00000005961	OMIM:273800	TRUE
ENSG00000006016	OMIM:272430	TRUE
ENSG00000006042	OMIM:615972	FALSE
ENSG00000006071	OMIM:125853	TRUE
ENSG00000006071	OMIM:240800	TRUE
ENSG00000006071	OMIM:256450	TRUE
ENSG00000006071	OMIM:606176	TRUE
ENSG00000006071	OMIM:610374	FALSE
ENSG00000006283	OMIM:616795	FALSE
ENSG00000006611	OMIM:276900	TRUE
ENSG00000006611	OMIM:276904	TRUE
ENSG00000006611	OMIM:602092	TRUE
ENSG00000006638	OMIM:614009	FALSE
ENSG00000006695	OMIM:220110	FALSE
ENSG00000006695	OMIM:256000	FALSE
ENSG00000006744	OMIM:614731	FALSE
ENSG00000006744	OMIM:615440	FALSE
ENSG00000007062	OMIM:603786	TRUE
ENSG00000007062	OMIM:608051	TRUE
ENSG00000007062	OMIM:612095	FALSE
ENSG00000007062	OMIM:612657	FALSE
ENSG00000007168	OMIM:607432	TRUE
ENSG00000007171	OMIM:611162	FALSE
ENSG00000007312	OMIM:612692	FALSE
ENSG00000007314	OMIM:168300	TRUE
ENSG00000007314	OMIM:170500	TRUE
ENSG00000007314	OMIM:608390	TRUE
ENSG00000007314	OMIM:613345	FALSE
ENSG00000007314	OMIM:614198	FALSE
ENSG00000007372	OMIM:106210	TRUE
ENSG00000007372	OMIM:120200	TRUE
ENSG00000007372	OMIM:120430	TRUE
ENSG00000007372	OMIM:136520	TRUE
ENSG00000007372	OMIM:148190	TRUE
ENSG00000007372	OMIM:165550	TRUE
ENSG00000007372	OMIM:604229	TRUE
ENSG00000007933	OMIM:602079	FALSE
ENSG00000008056	OMIM:300491	TRUE
ENSG00000008086	OMIM:300672	FALSE
ENSG00000008196	OMIM:169100	TRUE
ENSG00000008196	OMIM:617035	FALSE
ENSG00000008311	OMIM:238700	TRUE
ENSG00000008441	OMIM:602535	TRUE
ENSG00000008441	OMIM:614753	FALSE
ENSG00000008710	OMIM:173900	TRUE
ENSG00000009709	OMIM:268220	TRUE
ENSG00000009724	OMIM:613791	FALSE
ENSG00000009765	OMIM:274800	TRUE
ENSG00000009830	OMIM:613150	FALSE
ENSG00000009830	OMIM:613156	FALSE
ENSG00000009830	OMIM:613158	FALSE
ENSG00000010072	OMIM:616200	FALSE
ENSG00000010361	OMIM:182940	TRUE
ENSG00000010404	OMIM:309900	TRUE
ENSG00000010610	OMIM:613949	FALSE
ENSG00000010671	OMIM:300755	FALSE
ENSG00000010671	OMIM:307200	TRUE
ENSG00000010704	OMIM:104300	TRUE
ENSG00000010704	OMIM:176100	TRUE
ENSG00000010704	OMIM:176200	TRUE
ENSG00000010704	OMIM:235200	TRUE
ENSG00000010704	OMIM:612635	FALSE
ENSG00000010704	OMIM:614193	FALSE
ENSG00000010818	OMIM:616977	FALSE
ENSG00000011143	OMIM:249000	TRUE
ENSG00000011143	OMIM:615990	FALSE
ENSG00000011143	OMIM:617121	FALSE
ENSG00000011198	OMIM:275630	TRUE
ENSG00000011201	OMIM:308700	TRUE
ENSG00000011275	OMIM:212840	TRUE
ENSG00000011295	OMIM:615157	FALSE
ENSG00000011376	OMIM:615300	FALSE
ENSG00000011376	OMIM:617021	FALSE
ENSG00000011426	OMIM:616032	FALSE
ENSG00000011465	OMIM:610048	FALSE
ENSG00000011600	OMIM:221770	TRUE
ENSG00000012048	OMIM:114480	TRUE
ENSG00000012048	OMIM:167000	FALSE
ENSG00000012048	OMIM:604370	TRUE
ENSG00000012048	OMIM:614320	FALSE
ENSG00000012061	OMIM:610758	FALSE
ENSG00000012174	OMIM:300918	FALSE
ENSG00000012174	OMIM:308205	TRUE
ENSG00000012174	OMIM:308800	TRUE
ENSG00000012504	OMIM:617049	FALSE
ENSG00000012660	OMIM:615957	FALSE
ENSG00000012779	OMIM:600807	TRUE
ENSG00000013293	OMIM:615725	FALSE
ENSG00000013375	OMIM:615816	FALSE
ENSG00000013503	OMIM:614381	FALSE
ENSG00000013573	OMIM:613398	FALSE
ENSG00000013619	OMIM:300758	FALSE
ENSG00000014216	OMIM:616907	FALSE
ENSG00000014919	OMIM:256000	TRUE
ENSG00000014919	OMIM:615119	FALSE
ENSG00000015133	OMIM:236600	TRUE
ENSG00000015133	OMIM:616053	FALSE
ENSG00000015171	OMIM:616083	FALSE
ENSG00000015285	OMIM:300299	TRUE
ENSG00000015285	OMIM:301000	TRUE
ENSG00000015285	OMIM:313900	TRUE
ENSG00000015479	OMIM:606070	TRUE
ENSG00000015532	OMIM:264800	TRUE
ENSG00000015532	OMIM:605822	TRUE
ENSG00000017260	OMIM:169600	TRUE
ENSG00000017427	OMIM:608747	TRUE
ENSG00000018236	OMIM:612540	FALSE
ENSG00000018280	OMIM:607948	FALSE
ENSG00000018280	OMIM:610446	FALSE
ENSG00000018510	OMIM:600121	TRUE
ENSG00000018625	OMIM:104290	TRUE
ENSG00000018625	OMIM:602481	TRUE
ENSG00000019186	OMIM:143880	TRUE
ENSG00000019549	OMIM:172800	TRUE
ENSG00000019549	OMIM:608890	TRUE
ENSG00000019991	OMIM:608265	TRUE
ENSG00000020922	OMIM:604391	TRUE
ENSG00000020922	OMIM:614327	FALSE
ENSG00000021488	OMIM:220100	TRUE
ENSG00000021574	OMIM:182601	TRUE
ENSG00000021826	OMIM:237300	TRUE
ENSG00000021826	OMIM:615371	FALSE
ENSG00000021852	OMIM:613789	FALSE
ENSG00000022267	OMIM:300695	FALSE
ENSG00000022267	OMIM:300696	FALSE
ENSG00000022267	OMIM:300717	FALSE
ENSG00000022267	OMIM:300718	FALSE
ENSG00000022355	OMIM:611136	FALSE
ENSG00000022355	OMIM:615744	FALSE
ENSG00000023228	OMIM:252010	FALSE
ENSG00000023287	OMIM:114480	TRUE
ENSG00000023839	OMIM:237500	TRUE
ENSG00000023909	OMIM:608446	TRUE
ENSG00000025708	OMIM:603041	TRUE
ENSG00000025796	OMIM:617004	FALSE
ENSG00000026025	OMIM:116300	TRUE
ENSG00000026103	OMIM:601859	TRUE
ENSG00000026297	OMIM:612951	FALSE
ENSG00000026508	OMIM:609027	FALSE
ENSG00000027075	OMIM:601367	TRUE
ENSG00000027697	OMIM:209950	TRUE
ENSG00000027697	OMIM:600263	TRUE
ENSG00000027697	OMIM:607948	FALSE
ENSG00000027697	OMIM:610424	FALSE
ENSG00000027697	OMIM:615978	FALSE
ENSG00000027847	OMIM:130070	TRUE
ENSG00000029534	OMIM:182900	TRUE
ENSG00000029993	OMIM:300915	FALSE
ENSG00000030304	OMIM:208150	TRUE
