OMIM_ID	DO_ID
OMIM:100300	DOID:0060227
OMIM:100800	DOID:4480
OMIM:101000	DOID:8712
OMIM:101200	DOID:12960
OMIM:101400	DOID:14768
OMIM:101600	DOID:14705
OMIM:101800	DOID:14669
OMIM:101900	DOID:0050606
OMIM:102200	DOID:6255
OMIM:102370	DOID:0080001
OMIM:102500	DOID:2736
OMIM:102530	DOID:14227
OMIM:102700	DOID:5810
OMIM:102900	DOID:74
OMIM:103050	DOID:655
OMIM:103285	DOID:0050601
OMIM:103500	DOID:9252
OMIM:103580	DOID:0080053
OMIM:103780	DOID:0050741
OMIM:103900	DOID:14080
OMIM:104200	DOID:10983
OMIM:104290	DOID:0050635
OMIM:104300	DOID:10652
OMIM:104310	DOID:10652
OMIM:104500	DOID:2187
OMIM:104510	DOID:2187
OMIM:104530	DOID:2187
OMIM:105120	DOID:0050637
OMIM:105150	DOID:9246
OMIM:105200	DOID:0050636
OMIM:105210	DOID:0050638
OMIM:105250	DOID:0050639
OMIM:105400	DOID:0060193
OMIM:105500	DOID:332
OMIM:105550	DOID:332
OMIM:105650	DOID:1339
OMIM:105830	DOID:1932
OMIM:106100	DOID:14735
OMIM:106210	DOID:12271
OMIM:106260	DOID:9296
OMIM:106300	DOID:1123
OMIM:106600	DOID:0050591
OMIM:107250	DOID:5614
OMIM:107480	DOID:0050887
OMIM:107600	DOID:14693
OMIM:107970	DOID:0050431
OMIM:108010	DOID:6713
OMIM:108120	DOID:0050646
OMIM:108145	DOID:0050646
OMIM:108300	DOID:0080046
OMIM:108500	DOID:963
OMIM:108600	DOID:2476
OMIM:108720	DOID:0050648
OMIM:108721	DOID:0050648
OMIM:108770	DOID:0050700
OMIM:108900	DOID:1882
OMIM:108985	DOID:12318
OMIM:109150	DOID:1440
OMIM:109400	DOID:2512
OMIM:109730	DOID:1712
OMIM:109800	DOID:11054
OMIM:110100	DOID:14778
OMIM:112240	DOID:2340
OMIM:112250	DOID:4415
OMIM:112310	DOID:0050680
OMIM:112500	DOID:0050581
OMIM:112600	DOID:0050581
OMIM:113000	DOID:0050581
OMIM:113100	DOID:0050581
OMIM:113200	DOID:0050581
OMIM:113300	DOID:0050581
OMIM:113500	DOID:0050690
OMIM:113620	DOID:0050691
OMIM:113650	DOID:14702
OMIM:113750	DOID:3156
OMIM:113800	DOID:4603
OMIM:113900	DOID:114
OMIM:113970	DOID:8584
OMIM:114000	DOID:4257
OMIM:114290	DOID:0050463
OMIM:114300	DOID:0050646
OMIM:114480	DOID:1612
OMIM:114500	DOID:1520
OMIM:114550	DOID:684
OMIM:114900	DOID:10155
OMIM:115080	DOID:0060319
OMIM:115150	DOID:0060233
OMIM:115195	DOID:11984
OMIM:115196	DOID:11984
OMIM:115197	DOID:11984
OMIM:115200	DOID:12930
OMIM:115210	DOID:397
OMIM:115300	DOID:5113
OMIM:115310	DOID:0050773
OMIM:115430	DOID:12169
OMIM:115700	DOID:83
OMIM:115900	DOID:83
OMIM:116100	DOID:83
OMIM:116200	DOID:83
OMIM:116300	DOID:83
OMIM:116400	DOID:83
OMIM:116600	DOID:0050537
OMIM:116700	DOID:83
OMIM:116800	DOID:83
OMIM:116920	DOID:6612
OMIM:117000	DOID:3529
OMIM:117210	DOID:1441
OMIM:117300	DOID:9246
OMIM:117360	DOID:9277
OMIM:117550	DOID:14748
OMIM:117650	DOID:1059
OMIM:118100	DOID:10426
OMIM:118200	DOID:0050538
OMIM:118210	DOID:0050539
OMIM:118220	DOID:0050538
OMIM:118300	DOID:0050538
OMIM:118400	DOID:1856
OMIM:118450	DOID:9245
OMIM:118600	DOID:1156
OMIM:118700	DOID:12859
OMIM:118800	DOID:480
OMIM:119300	DOID:0060239
OMIM:119500	DOID:0060055
OMIM:119540	DOID:674
OMIM:119600	DOID:13994
OMIM:119800	DOID:11836
OMIM:119900	DOID:14283
OMIM:120100	DOID:37
OMIM:120200	DOID:12270
OMIM:120330	DOID:12270
OMIM:120430	DOID:11975
OMIM:120435	DOID:3883
OMIM:120790	DOID:612
OMIM:120970	DOID:0050572
OMIM:121050	DOID:0050646
OMIM:121200	DOID:14264
OMIM:121201	DOID:14264
OMIM:121300	DOID:13269
OMIM:121800	DOID:12318
OMIM:121820	DOID:0060216
OMIM:121850	DOID:12318
OMIM:121900	DOID:12318
OMIM:122000	DOID:12318
OMIM:122100	DOID:12318
OMIM:122200	DOID:12318
OMIM:122470	DOID:11725
OMIM:122600	DOID:0050568
OMIM:122700	DOID:655
OMIM:122860	DOID:0080033
OMIM:122880	DOID:10003
OMIM:123000	DOID:0080033
OMIM:123100	DOID:2340
OMIM:123150	DOID:2340
OMIM:123400	DOID:11949
OMIM:123500	DOID:2339
OMIM:123700	DOID:3144
OMIM:123790	DOID:0050660
OMIM:124200	DOID:2734
OMIM:124500	DOID:10003
OMIM:124900	DOID:0050564
OMIM:125310	DOID:13945
OMIM:125350	DOID:1091
OMIM:125370	DOID:0060162
OMIM:125400	DOID:701
OMIM:125420	DOID:701
OMIM:125490	DOID:4154
OMIM:125500	DOID:4154
OMIM:125595	DOID:987
OMIM:125700	DOID:12388
OMIM:125800	DOID:12387
OMIM:125850	DOID:0050524
OMIM:125851	DOID:0050524
OMIM:125852	DOID:9744
OMIM:125853	DOID:9352
OMIM:126200	DOID:2377
OMIM:126600	DOID:12318
OMIM:126700	DOID:2569
OMIM:127000	DOID:4257
OMIM:127300	DOID:12721
OMIM:127400	DOID:0060257
OMIM:127550	DOID:2729
OMIM:127700	DOID:4428
OMIM:127750	DOID:12217
OMIM:128100	DOID:0050835
OMIM:128101	DOID:0050835
OMIM:128200	DOID:543
OMIM:128230	DOID:0050835
OMIM:128235	DOID:0050835
OMIM:129400	DOID:0060330
OMIM:129490	DOID:14793
OMIM:129500	DOID:14693
OMIM:130000	DOID:14720
OMIM:130020	DOID:14757
OMIM:130050	DOID:14756
OMIM:130060	DOID:13359
OMIM:130070	DOID:13359
OMIM:130600	DOID:2373
OMIM:130650	DOID:5572
OMIM:130900	DOID:2187
OMIM:131100	DOID:10017
OMIM:131300	DOID:4997
OMIM:131440	DOID:999
OMIM:131705	DOID:4959
OMIM:131750	DOID:4959
OMIM:131760	DOID:4644
OMIM:131800	DOID:4644
OMIM:131850	DOID:4959
OMIM:131900	DOID:4644
OMIM:131950	DOID:4644
OMIM:131960	DOID:4644
OMIM:132000	DOID:4959
OMIM:132400	DOID:12721
OMIM:132450	DOID:11830
OMIM:132600	DOID:5374
OMIM:132700	DOID:3165
OMIM:132800	DOID:305
OMIM:132900	DOID:14004
OMIM:133020	DOID:9240
OMIM:133100	DOID:10780
OMIM:133190	DOID:37
OMIM:133200	DOID:0050467
OMIM:133239	DOID:3748
OMIM:133540	DOID:2962
OMIM:133700	DOID:206
OMIM:133701	DOID:206
OMIM:133780	DOID:0050535
OMIM:134610	DOID:2987
OMIM:135100	DOID:13374
OMIM:135150	DOID:0050676
OMIM:135290	DOID:0050424
OMIM:135300	DOID:3086
